"id","name","description"
"1","釉下彩","釉下彩是瓷器釉彩装饰的一种，又称“窑彩”。釉下彩是陶瓷器的一种主要装饰手段，是用色料在已成型晾干的素坯（即半成品）上绘制各种纹饰，然后罩以白色透明釉或者其他浅色面釉，一次烧成。烧成后的图案被一层透明的釉膜覆盖在下边，表面光亮柔和、平滑不凸出，显得晶莹透亮。"
"2","花鸟",
"3","山水","山水，在让中国人成为生活艺术家的同时，也成为了哲学家。《论语》中所说“子在川上曰：逝者如斯夫”，思考和追问的是生命的意义;老子说“上善若水，水善利万物而不争”，是对像水一样不争名利高尚品德的赞誉。处于新时代的我们，总喜欢把热爱山水，向往山水，走向山水，视为一种生命意识的复归，一种身处繁华都市而超越??现实、追求自由精神的理想，一种于平凡庸碌之中营造起的潇洒“心境”。“山水”成为了城市人回归自然的一个梦想。"
"4","荷花","荷花，一直是清高的象征，花叶清秀，纯洁典雅，花香四溢，沁人心脾，自古就受到人们的喜爱和追捧，给人以精神上的享受和带来视觉上的美感。又因它清香久远，秀雅清香，寄托着人们心中洁身自爱、不同流合污的高洁追求。荷花也是莲花，寓意连年有余、和和美美、和气生财，也有祝家庭和睦、和顺等，祝夫妻关系美满，恩爱幸福的寓意。"
"5","鳜鱼","鳜鱼谐音“贵“”余”，寓意富贵有余，另外，因为在淡水鱼中鳜鱼属于肉食性鱼类，只吃活鱼，是水族中的王者，所以鳜鱼也象征着贵族和王者风范。"
"6","牡丹","牡丹是我国的国花，象征着气质典雅，很高贵的人。在传统的国画中最为常见的花就是牡丹花，还代表着吉祥和富贵，升华一步讲，寓意着祖国繁荣昌盛。它的花语是浓情，圆满，雍华富贵，且不同的花色所对应的花语也不同。"
"7","菊花","菊花是自古以来受人们喜爱的一种花卉，能代表吉祥、长寿。 菊花可以在冬季开花，代表了正直不屈的精神，有顽强的生命力。 也可以代表品行高洁的人，象征着高雅纯洁，具有骨气和独特的气节。 还能代表归隐田园，表示隐居在乡野中的悠然、恬静、惬意。"
"8","竹子","竹，有着不一般的中国传统文化含义，竹子四季常青象征着顽强的生命、青春永驻；竹子空心代表虚怀若谷的品格；其枝弯而不折，是柔中有刚的做人原则；生而有节、竹节必露则是高风亮节的象征。竹的挺拔洒脱、正直清高、清秀俊逸也是中国文人的人格追求。"
"9","兰花","兰花的寓意是典雅、高洁、爱国、坚贞不渝。它被称为是花中君子，因其品质非常高洁。它和水仙、菊花、菖蒲被称为是花中四雅，另外，它和竹子、菊花、梅花被称为是四君子。它在很久之前是爱的吉祥物，诗歌中它代表君子，被现代人理解为高洁、美好的象征。"
"10","葡萄","葡萄这种植物作为装饰放在家里有人丁兴旺，多子多福，是比较传统的吉祥的象征。葡萄种下一颗小小的籽，却可以结出成千上万的果实，寓意着家中一生万，子孙兴旺，也有一本万利的寓意。"
"11","缠枝莲","传统吉祥纹样，多用于装饰瓷器。图案以莲花组成的称“缠枝莲”。缠枝纹又名“万寿藤”，寓意吉庆。因其结构连绵不断，故又具“生生不息”之意。是以一种藤蔓卷草经提炼变化而成，委婉多姿，富有动感，优美生动。"
"12","梅花","梅花自古以来就常被人们称颂，因为它不惧寒冷，在雪中傲然绽放，呈现冬雪寒梅的盛景，令人心生敬仰。梅花是岁寒三友之一，它不惧环境，不畏冬季刺骨的寒风和霜雪，在万物凋零的季节将最美的姿态展现给世人，这是一种坚强不屈的精神，梅花的精神和气节，千百年来一直鼓舞着我们。"
"13","金鱼","金鱼比较常见，谐音为“金玉”。因此，有着“金玉满堂”，这样富足、美好的寓意。此外，中国古代以金喻女孩，以玉喻男孩，金玉满堂还有儿女满堂、子嗣丰盈之意。"
"14","虾","虾的寓意深刻，北方喻其为“龙”，有镇宅吉祥之意，南方喻其为“银子”，取长久富贵之意。虾对同族之物从不侵袭与伤害，和谐相处，身躯虽小，玉洁透明，淡泊名利，有高尚的品格和纯洁坦诚的胸怀，表明了洁身自好的人生寄托。此外，虾身佩玉甲皆可窥，寓意做人要坦诚透明，有顽强的生命力，有敢弄潮的意志，更有龙一样的腾飞精神，它的触角可触沙，可观云望月。"
"15","青花釉里红","“青花釉里红”是在青花和釉里红烧造的基础上制成的，这种以氧化钴为着色剂的青花料和以氧化铜为着色剂的釉里红色料所绘制的釉下彩综合式的装饰，既有青花青翠品澈、幽靓素雅的特色，又有釉里红瑰丽而沉静、艳媚而不浮躁、热烈而又含蓄的特色。两者的长处有机融合，既素雅又艳丽，形成了青红相间、冷暖相衬、动静相映的审美特征，这种在一件器物上同时使用铜和钴彩绘的工艺，可谓精彩华美之至，也价值非凡。 "
"16","紫藤","国画紫藤是花鸟画题材中一种吉祥之物，寓意紫气东来，紫光祥兆，祥瑞降临。紫藤花灿烂繁华，迎风摇曳，漂亮至极。"
"17","鹤","鹤仙千年寿，松龄万古春。鹤与松搭配，在民间广为流传，是最受欢迎的传统吉祥国画。鹤为“百羽之宗”，祥和优雅，是瑞寿和高贵的象征。"
"18","石榴","石榴寓意着红红火火，表示生活上和事业上的红红火火;石榴的籽非常多，把它布满在新婚的礼堂中，寓意着多子多孙;石榴还寓意着团圆幸福，家庭幸福美满、家人相聚在一起团圆幸福，正是亲人间的羁绊;把石榴挂在家中，能辟邪趋吉。"
